Angular,Aptitud,C# Unity,C++ Unreal Engine,CSS,Educación,Experiencia,Flutter,HTML,Java,JavaScript,Kotlin,NoSQL,Puntos,Python,React,SQL,Swift,Área
0,No apto,0,0,0,Licenciatura,8,0,0,0,0,0,0,0.6444444444444445,1,0,0,0,Desarrollo de Juegos
0,Apto,0,0,0,Licenciatura,11,1,0,0,0,0,0,0.8222222222222223,0,0,0,1,Desarrollo Móvil
0,Apto,0,0,1,Ingeniería,10,0,0,0,1,0,1,0.8380952380952381,0,1,1,0,Desarrollo Web
1,Apto,0,0,0,Licenciatura,18,0,1,0,0,0,1,0.7904761904761904,0,1,0,0,Desarrollo Web
0,No apto,0,0,0,Licenciatura,7,0,0,0,0,0,0,0.5333333333333333,0,0,0,0,Desarrollo Móvil
0,Apto,1,1,0,Licenciatura,15,0,0,0,0,0,0,0.8222222222222223,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Tecnicatura,17,0,0,0,0,0,0,0.5,0,0,0,0,Desarrollo de Juegos
1,No apto,0,0,0,Licenciatura,18,0,0,0,0,0,0,0.6952380952380953,0,1,0,0,Desarrollo Web
0,Apto,0,0,0,Ingeniería,6,0,0,0,0,1,0,0.7222222222222222,0,0,0,1,Desarrollo Móvil
1,Apto,0,0,1,Ingeniería,13,0,1,0,0,0,1,0.9047619047619048,0,0,1,0,Desarrollo Web
0,No apto,0,0,0,Ingeniería,1,1,0,0,0,1,0,0.6222222222222222,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,1,Ingeniería,6,0,0,0,1,0,0,0.6428571428571429,0,0,1,0,Desarrollo Web
0,Apto,1,1,0,Tecnicatura,16,0,0,0,0,0,0,0.8333333333333334,1,0,0,0,Desarrollo de Juegos
0,No apto,0,1,0,Licenciatura,6,0,0,0,0,0,0,0.5444444444444444,0,0,0,0,Desarrollo de Juegos
0,Apto,0,0,0,Licenciatura,11,0,0,0,0,0,0,0.7111111111111111,1,0,0,0,Desarrollo de Juegos
1,No apto,0,0,0,Tecnicatura,6,0,0,0,0,0,0,0.3809523809523809,0,0,0,0,Desarrollo Web
0,No apto,1,0,0,Ingeniería,6,0,0,0,0,0,0,0.611111111111111,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Ingeniería,5,0,0,0,0,1,0,0.611111111111111,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Licenciatura,10,0,0,0,1,0,1,0.6761904761904761,0,0,1,0,Desarrollo Web
0,Apto,1,1,0,Ingeniería,12,0,0,0,0,0,0,0.8888888888888888,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Licenciatura,18,0,0,0,0,0,0,0.6,0,0,0,0,Desarrollo Móvil
1,No apto,0,0,0,Licenciatura,3,0,0,0,0,0,1,0.4285714285714285,0,0,0,0,Desarrollo Web
0,Apto,0,0,0,Ingeniería,19,0,1,0,1,0,0,0.8095238095238094,0,0,1,0,Desarrollo Web
0,No apto,0,0,0,Licenciatura,10,0,0,0,1,0,1,0.6761904761904761,0,1,0,0,Desarrollo Web
0,Apto,1,1,0,Licenciatura,14,0,0,0,0,0,0,0.9333333333333332,1,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Licenciatura,8,0,0,0,0,0,1,0.6285714285714286,0,1,0,0,Desarrollo Web
1,No apto,0,0,0,Ingeniería,0,0,1,0,0,0,0,0.4761904761904762,0,1,0,0,Desarrollo Web
0,No apto,0,0,0,Tecnicatura,16,0,0,0,0,0,0,0.611111111111111,0,0,0,1,Desarrollo Móvil
0,No apto,0,0,0,Tecnicatura,14,0,0,0,0,0,0,0.5952380952380952,0,1,1,0,Desarrollo Web
0,No apto,0,0,0,Licenciatura,4,1,0,0,0,0,0,0.5444444444444444,0,0,0,0,Desarrollo Móvil
0,Apto,1,1,0,Tecnicatura,17,0,0,0,0,0,0,0.7222222222222222,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Ninguna,14,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,Desarrollo de Juegos
0,Apto,0,0,0,Licenciatura,12,0,0,0,0,1,0,0.7111111111111111,0,0,0,0,Desarrollo Móvil
0,Apto,0,0,0,Ingeniería,7,0,0,0,0,0,0,0.7111111111111111,1,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Ninguna,0,0,0,0,0,0,0,0.0,0,0,0,0,Desarrollo Web
0,No apto,0,1,0,Tecnicatura,8,0,0,0,0,0,0,0.5444444444444444,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Tecnicatura,3,0,0,0,0,0,0,0.3444444444444444,0,0,0,1,Desarrollo Móvil
0,No apto,0,0,0,Licenciatura,2,0,0,0,1,0,1,0.4285714285714285,0,0,0,0,Desarrollo Web
1,Apto,0,0,0,Ingeniería,17,0,1,0,1,0,1,0.9523809523809524,0,1,1,0,Desarrollo Web
1,No apto,0,0,1,Ingeniería,1,0,0,0,1,0,0,0.5904761904761905,0,0,1,0,Desarrollo Web
0,Apto,0,0,0,Ingeniería,5,1,0,0,0,1,0,0.8333333333333334,0,0,0,1,Desarrollo Móvil
0,No apto,1,0,0,Licenciatura,2,0,0,0,0,0,0,0.5555555555555555,1,0,0,0,Desarrollo de Juegos
0,Apto,0,0,0,Ingeniería,13,0,1,0,1,0,1,0.8095238095238094,0,0,0,0,Desarrollo Web
1,Apto,0,0,1,Ingeniería,6,0,1,0,1,0,1,0.7857142857142857,0,1,0,0,Desarrollo Web
0,No apto,0,0,0,Ninguna,14,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,Desarrollo Móvil
0,Apto,0,0,0,Ingeniería,4,1,0,0,0,1,0,0.7222222222222222,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Licenciatura,19,0,1,0,0,0,0,0.6952380952380953,0,0,1,0,Desarrollo Web
0,No apto,0,0,0,Tecnicatura,12,0,0,0,0,0,0,0.5,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Tecnicatura,12,0,0,0,0,0,0,0.5,0,0,0,0,Desarrollo Móvil
0,Apto,1,1,0,Ingeniería,4,0,0,0,0,0,0,0.8333333333333334,1,0,0,0,Desarrollo de Juegos
0,Apto,0,0,1,Ingeniería,16,0,1,0,0,0,1,0.8571428571428571,0,0,1,0,Desarrollo Web
1,Apto,0,0,1,Ingeniería,14,0,0,0,1,0,1,0.9047619047619048,0,0,1,0,Desarrollo Web
0,Apto,0,0,0,Ingeniería,7,0,1,0,1,0,0,0.7428571428571429,0,1,0,0,Desarrollo Web
0,Apto,0,0,0,Ingeniería,10,1,0,0,0,1,0,0.9333333333333332,0,0,0,1,Desarrollo Móvil
0,No apto,0,0,0,Ninguna,13,0,0,0,0,1,0,0.4444444444444444,0,0,0,0,Desarrollo Móvil
0,Apto,0,0,1,Licenciatura,16,0,0,0,1,0,0,0.7428571428571429,0,1,0,0,Desarrollo Web
0,No apto,0,0,0,Ninguna,9,0,0,0,0,0,0,0.2666666666666666,0,0,0,0,Desarrollo de Juegos
0,No apto,1,1,0,Tecnicatura,1,0,0,0,0,0,0,0.4555555555555555,0,0,0,0,Desarrollo de Juegos
0,Apto,0,0,1,Licenciatura,12,0,0,0,0,0,1,0.7428571428571429,0,1,0,0,Desarrollo Web
0,Apto,0,0,0,Licenciatura,19,0,0,0,0,1,0,0.7111111111111111,0,0,0,0,Desarrollo Móvil
0,Apto,0,0,1,Licenciatura,14,0,1,0,0,0,0,0.7428571428571429,0,1,0,0,Desarrollo Web
0,Apto,0,1,0,Licenciatura,15,0,0,0,0,0,0,0.7111111111111111,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Licenciatura,3,0,0,0,0,0,0,0.4444444444444444,1,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Licenciatura,0,1,0,0,0,0,0,0.4888888888888889,0,0,0,1,Desarrollo Móvil
0,Apto,0,0,0,Licenciatura,17,1,0,0,0,0,0,0.7111111111111111,0,0,0,0,Desarrollo Móvil
0,Apto,0,0,0,Licenciatura,12,0,0,0,0,0,0,0.7111111111111111,0,0,0,1,Desarrollo Móvil
0,Apto,1,1,0,Ingeniería,13,0,0,0,0,0,0,1.0,1,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Ninguna,16,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,Desarrollo Web
0,No apto,0,0,0,Tecnicatura,11,0,0,0,0,0,0,0.5,0,0,0,0,Desarrollo Web
0,No apto,0,0,0,Tecnicatura,8,0,0,0,0,0,0,0.4333333333333333,0,0,0,0,Desarrollo Móvil
1,Apto,0,0,1,Ingeniería,12,0,1,0,1,0,0,0.9047619047619048,0,1,0,0,Desarrollo Web
0,Apto,0,0,0,Licenciatura,15,0,0,0,0,0,0,0.7111111111111111,0,0,0,1,Desarrollo Móvil
0,Apto,1,0,0,Ingeniería,17,0,0,0,0,0,0,0.7777777777777778,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Tecnicatura,15,1,0,0,0,0,0,0.611111111111111,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Ninguna,6,0,0,0,0,0,0,0.1666666666666666,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Ninguna,4,0,0,0,0,0,0,0.2142857142857142,0,1,0,0,Desarrollo Web
0,No apto,0,0,0,Ninguna,16,0,0,0,0,0,0,0.3809523809523809,0,0,1,0,Desarrollo Web
0,No apto,0,0,0,Ingeniería,6,0,1,0,0,0,1,0.6428571428571429,0,0,1,0,Desarrollo Web
0,Apto,1,1,0,Ingeniería,16,0,0,0,0,0,0,1.0,1,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Ninguna,11,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,Desarrollo Web
0,Apto,0,0,0,Ingeniería,6,1,0,0,0,1,0,0.7222222222222222,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Tecnicatura,12,0,0,0,0,0,0,0.5476190476190476,0,1,0,0,Desarrollo Web
1,Apto,0,0,1,Ingeniería,15,0,1,0,0,0,0,0.8571428571428571,0,1,0,0,Desarrollo Web
0,No apto,0,0,0,Tecnicatura,1,0,0,0,0,0,0,0.2333333333333333,0,0,0,0,Desarrollo Web
0,Apto,1,1,0,Ingeniería,7,0,0,0,0,0,0,0.9333333333333332,1,0,0,0,Desarrollo de Juegos
0,Apto,1,0,0,Ingeniería,18,0,0,0,0,0,0,0.8888888888888888,1,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Ninguna,12,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Tecnicatura,10,0,0,0,0,0,0,0.4333333333333333,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Ninguna,4,0,0,0,0,0,0,0.1666666666666666,0,0,0,0,Desarrollo Web
0,No apto,0,0,0,Tecnicatura,17,0,0,0,0,0,0,0.5,0,0,0,0,Desarrollo Web
0,No apto,0,0,0,Tecnicatura,12,0,0,0,0,0,0,0.5,0,0,0,0,Desarrollo de Juegos
0,Apto,0,0,0,Licenciatura,16,1,0,0,0,0,0,0.7111111111111111,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Ninguna,4,0,0,0,0,0,1,0.2142857142857142,0,0,0,0,Desarrollo Web
0,Apto,0,0,0,Licenciatura,11,0,0,0,0,0,0,0.7111111111111111,0,0,0,1,Desarrollo Móvil
0,No apto,0,0,0,Ninguna,16,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Ingeniería,0,1,0,0,0,0,0,0.4444444444444444,0,0,0,0,Desarrollo Móvil
1,Apto,0,0,0,Licenciatura,12,0,0,0,0,0,1,0.7428571428571429,0,0,1,0,Desarrollo Web
0,No apto,0,0,0,Ninguna,15,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Tecnicatura,16,0,0,0,0,0,0,0.5,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Tecnicatura,3,0,0,0,0,0,0,0.2333333333333333,0,0,0,0,Desarrollo Móvil
0,No apto,1,1,0,Licenciatura,2,0,0,0,0,0,0,0.5555555555555555,0,0,0,0,Desarrollo de Juegos
0,Apto,0,0,0,Ingeniería,16,1,0,0,0,1,0,0.8888888888888888,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Ninguna,9,0,0,0,0,0,0,0.2666666666666666,0,0,0,0,Desarrollo de Juegos
0,Apto,0,0,0,Ingeniería,11,0,0,0,0,1,0,0.8888888888888888,0,0,0,1,Desarrollo Móvil
0,Apto,0,1,0,Ingeniería,13,0,0,0,0,0,0,0.8888888888888888,1,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Ninguna,0,0,0,0,0,0,0,0.0,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Ninguna,0,1,0,0,0,0,0,0.1111111111111111,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Ninguna,11,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,Desarrollo Web
0,No apto,0,0,0,Tecnicatura,13,0,0,0,0,0,0,0.5,0,0,0,0,Desarrollo de Juegos
1,Apto,0,0,0,Ingeniería,9,0,1,0,0,0,1,0.8380952380952381,0,1,1,0,Desarrollo Web
0,No apto,0,0,1,Tecnicatura,8,0,0,0,0,0,0,0.4809523809523809,0,0,0,0,Desarrollo Web
0,No apto,0,0,0,Ninguna,19,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Ninguna,0,0,0,0,0,0,0,0.0,0,0,0,0,Desarrollo Móvil
0,Apto,1,0,0,Ingeniería,19,0,0,0,0,0,0,0.7777777777777778,0,0,0,0,Desarrollo de Juegos
1,No apto,0,0,0,Tecnicatura,15,0,0,0,0,0,0,0.5476190476190476,0,0,0,0,Desarrollo Web
0,Apto,0,1,0,Licenciatura,16,0,0,0,0,0,0,0.8222222222222223,1,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Ninguna,13,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,Desarrollo Web
0,No apto,0,0,0,Tecnicatura,1,0,0,0,1,0,0,0.2809523809523809,0,0,0,0,Desarrollo Web
0,No apto,1,0,0,Ninguna,5,0,0,0,0,0,0,0.2777777777777777,0,0,0,0,Desarrollo de Juegos
0,Apto,0,0,0,Ingeniería,2,1,0,0,0,1,0,0.7333333333333334,0,0,0,1,Desarrollo Móvil
0,Apto,1,0,0,Ingeniería,15,0,0,0,0,0,0,0.8888888888888888,1,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Tecnicatura,8,0,0,0,0,0,0,0.4333333333333333,0,0,0,0,Desarrollo Web
0,Apto,1,1,0,Licenciatura,12,0,0,0,0,0,0,0.8222222222222223,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Tecnicatura,4,0,1,0,0,0,0,0.3809523809523809,0,0,0,0,Desarrollo Web
0,Apto,0,0,0,Licenciatura,16,1,0,0,0,0,0,0.7111111111111111,0,0,0,0,Desarrollo Móvil
0,Apto,1,0,0,Licenciatura,17,0,0,0,0,0,0,0.8222222222222223,1,0,0,0,Desarrollo de Juegos
0,Apto,1,1,0,Ingeniería,5,0,0,0,0,0,0,0.7222222222222222,0,0,0,0,Desarrollo de Juegos
0,Apto,1,0,0,Ingeniería,9,0,0,0,0,0,0,0.8222222222222223,1,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Ninguna,10,0,0,0,0,0,0,0.2666666666666666,0,0,0,0,Desarrollo de Juegos
1,Apto,0,0,0,Licenciatura,9,0,0,0,1,0,1,0.7238095238095239,0,1,0,0,Desarrollo Web
0,No apto,0,0,0,Tecnicatura,8,0,0,0,0,0,0,0.5444444444444444,0,0,0,1,Desarrollo Móvil
0,No apto,0,0,0,Ninguna,5,0,0,0,0,0,0,0.1666666666666666,0,0,0,0,Desarrollo Móvil
1,No apto,0,0,0,Ingeniería,1,0,1,0,1,0,1,0.638095238095238,0,1,0,0,Desarrollo Web
0,No apto,0,0,0,Ninguna,14,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,Desarrollo Móvil
0,Apto,0,0,0,Licenciatura,19,0,0,0,0,0,0,0.7111111111111111,0,0,0,1,Desarrollo Móvil
0,No apto,0,0,0,Ninguna,15,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Ingeniería,6,0,0,0,0,1,0,0.611111111111111,0,0,0,0,Desarrollo Móvil
1,Apto,0,0,0,Ingeniería,9,0,1,0,0,0,1,0.8380952380952381,0,1,1,0,Desarrollo Web
0,No apto,0,0,0,Licenciatura,4,0,0,0,0,0,0,0.4333333333333333,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,1,Ninguna,5,0,0,0,1,0,0,0.2619047619047619,0,0,0,0,Desarrollo Web
0,No apto,0,0,1,Ingeniería,8,0,0,0,0,0,0,0.6476190476190476,0,0,0,0,Desarrollo Web
0,No apto,0,0,0,Ingeniería,17,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Ninguna,8,0,0,0,0,0,0,0.2666666666666666,0,0,0,0,Desarrollo de Juegos
0,Apto,0,0,0,Ingeniería,9,1,0,0,0,0,0,0.7111111111111111,0,0,0,0,Desarrollo Móvil
0,Apto,1,0,0,Ingeniería,14,0,0,0,0,0,0,0.8888888888888888,1,0,0,0,Desarrollo de Juegos
0,Apto,0,0,1,Licenciatura,16,0,0,0,1,0,1,0.7428571428571429,0,0,0,0,Desarrollo Web
0,Apto,0,1,0,Ingeniería,15,0,0,0,0,0,0,0.8888888888888888,1,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Tecnicatura,5,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,Desarrollo de Juegos
0,Apto,0,0,0,Ingeniería,10,0,1,0,0,0,0,0.7428571428571429,0,1,1,0,Desarrollo Web
0,Apto,1,1,0,Ingeniería,14,0,0,0,0,0,0,0.8888888888888888,0,0,0,0,Desarrollo de Juegos
0,Apto,1,1,0,Ingeniería,5,0,0,0,0,0,0,0.8333333333333334,1,0,0,0,Desarrollo de Juegos
0,Apto,1,0,0,Ingeniería,11,0,0,0,0,0,0,0.7777777777777778,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Ninguna,11,1,0,0,0,0,0,0.4444444444444444,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Ninguna,10,0,0,0,0,0,0,0.3142857142857143,0,0,1,0,Desarrollo Web
0,No apto,0,0,0,Tecnicatura,7,1,0,0,0,0,0,0.5444444444444444,0,0,0,0,Desarrollo Móvil
1,Apto,0,0,1,Licenciatura,11,0,0,0,0,0,0,0.7428571428571429,0,0,1,0,Desarrollo Web
0,No apto,0,0,0,Tecnicatura,18,0,0,0,0,0,0,0.5,0,0,0,0,Desarrollo de Juegos
0,Apto,0,0,0,Licenciatura,17,0,0,0,0,0,0,0.7111111111111111,1,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Licenciatura,3,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,Desarrollo Móvil
0,Apto,0,0,0,Ingeniería,16,0,0,0,0,1,0,0.7777777777777778,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Tecnicatura,3,0,0,0,0,0,0,0.2333333333333333,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Licenciatura,10,0,0,0,1,0,0,0.6761904761904761,0,1,1,0,Desarrollo Web
0,No apto,0,0,0,Ninguna,4,0,0,0,0,0,1,0.2142857142857142,0,0,0,0,Desarrollo Web
1,Apto,0,0,1,Ingeniería,14,0,0,0,1,0,1,0.9047619047619048,0,0,1,0,Desarrollo Web
0,Apto,0,0,1,Licenciatura,16,0,0,0,1,0,0,0.7428571428571429,0,0,1,0,Desarrollo Web
0,No apto,1,1,0,Ingeniería,0,0,0,0,0,0,0,0.6666666666666666,1,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Tecnicatura,14,0,0,0,0,0,0,0.5,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Tecnicatura,4,1,0,0,0,0,0,0.4444444444444444,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Licenciatura,7,0,0,0,0,1,0,0.6444444444444445,0,0,0,0,Desarrollo Móvil
0,Apto,0,0,0,Ingeniería,16,1,0,0,0,1,0,1.0,0,0,0,1,Desarrollo Móvil
1,No apto,0,0,1,Ingeniería,2,0,0,0,1,0,1,0.638095238095238,0,1,0,0,Desarrollo Web
0,Apto,1,1,0,Ingeniería,2,0,0,0,0,0,0,0.7333333333333334,1,0,0,0,Desarrollo de Juegos
1,No apto,0,0,1,Ingeniería,6,0,0,0,1,0,0,0.6904761904761904,0,1,0,0,Desarrollo Web
1,Apto,0,0,0,Licenciatura,10,0,0,0,0,0,1,0.7238095238095239,0,1,1,0,Desarrollo Web
0,Apto,0,0,0,Ingeniería,9,1,0,0,0,0,0,0.8222222222222223,0,0,0,1,Desarrollo Móvil
0,Apto,0,0,0,Licenciatura,19,1,0,0,0,1,0,0.8222222222222223,0,0,0,0,Desarrollo Móvil
0,Apto,0,0,0,Licenciatura,19,0,0,0,0,1,0,0.8222222222222223,0,0,0,1,Desarrollo Móvil
0,Apto,0,0,0,Licenciatura,19,0,0,0,0,0,0,0.7111111111111111,0,0,0,1,Desarrollo Móvil
0,No apto,1,0,0,Licenciatura,8,0,0,0,0,0,0,0.6444444444444445,0,0,0,0,Desarrollo de Juegos
1,No apto,0,0,1,Ingeniería,1,0,0,0,1,0,0,0.638095238095238,0,1,1,0,Desarrollo Web
0,No apto,0,0,0,Ninguna,19,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Licenciatura,15,0,0,0,0,0,0,0.6,0,0,0,0,Desarrollo de Juegos
1,Apto,0,0,1,Ingeniería,8,0,0,0,0,0,0,0.7428571428571429,0,1,0,0,Desarrollo Web
1,Apto,0,0,1,Ingeniería,9,0,0,0,0,0,1,0.8380952380952381,0,1,1,0,Desarrollo Web
0,No apto,0,0,0,Ninguna,2,0,0,0,0,0,0,0.0666666666666666,0,0,0,0,Desarrollo de Juegos
0,Apto,0,0,0,Ingeniería,5,1,0,0,0,1,0,0.7222222222222222,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Licenciatura,16,0,0,0,0,0,0,0.6,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Ninguna,17,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,Desarrollo Móvil
0,Apto,0,0,0,Licenciatura,7,1,0,0,0,1,0,0.7555555555555555,0,0,0,0,Desarrollo Móvil
1,No apto,0,0,0,Ninguna,16,0,0,0,1,0,0,0.4285714285714285,0,0,0,0,Desarrollo Web
0,Apto,1,0,0,Ingeniería,14,0,0,0,0,0,0,0.7777777777777778,0,0,0,0,Desarrollo de Juegos
